11,671
346,408
1238,109
1048,207
2426,802
2371,148
2066,638
2485,1143
1097,284
1261,181
79,609
1229,107
1230,134
72,667
1243,104
1214,125
2467,806
10,624
1293,115
75,691
2421,1114
1211,129
1225,181
1262,118
1297,144
1239,156
96,661
1026,205
1203,121
2321,139
1267,113
375,405
2412,807
1261,120
325,473
2404,880
2472,839
1286,139
370,450
2463,805
1259,151
306,442
1292,138
1297,115
2424,1164
1281,160
1241,190
2478,855
2417,892
1215,141
1224,165
2435,1113
1240,144
2491,839
2458,817
3,630
2467,876
1209,144
1032,224
1217,193
1069,296
1011,255
1271,166
2308,124
2420,827
90,605
2062,674
1242,172
1256,128
1234,185
1232,138
1206,159
1258,135
2348,172
85,648
352,407
2476,1195
7,673
1221,179
374,487
344,476
2419,844
2449,806
2327,123
1226,194
2018,602
42,620
2099,682
2463,814
1251,139
2429,881
391,451
71,687
6,604
2324,180
1223,129
1226,193
1222,168
1272,102
81,640
12,644
82,661
54,610
2496,824
2462,843
1288,149
63,632
1295,165
2420,822
2434,856
1265,165
2494,867
1231,115
1006,272
1231,120
33,668
1296,158
2450,859
60,680
51,627
2437,1144
10,620
2430,1184
1225,143
1292,165
1294,169
2495,1120
380,419
2488,864
2414,840
2453,830
1282,178
13,672
1251,119
52,639
2409,846
2483,821
98,663
2413,827
2480,841
2452,848
2493,1153
1239,107
2444,838
2494,1183
1261,140
370,448
371,438
315,412
88,605
2041,645
1221,107
2472,820
2458,1156
2428,829
348,416
2381,130
376,477
1230,108
2447,883
2489,818
2359,172
92,631
2444,889
1293,124
1267,153
304,457
1220,129
2483,865
1281,177
1216,148
3,687
1250,146
2462,1166
1093,242
1254,142
386,466
85,684
16,670
1034,248
92,611
1273,178
2398,146
42,625
2436,817
26,680
2457,850
1233,151
2057,637
2429,1122
33,612
342,493
34,602
71,688
5,696
2323,140
1002,235
1223,194
2426,830
20,645
16,618
1295,174
1069,257
1067,288
1274,181
1277,113
24,670
1270,139
342,401
2434,867
1287,199
384,486
1272,194
1224,147
71,639
1286,137
2402,834
2004,647
1291,158
2304,149
23,619
2311,155
1067,237
1283,151
2456,841
12,622
2358,123
3,679
2470,864
1235,178
1295,174
20,696
1069,264
1295,192
1249,143
63,676
79,623
2043,697
1203,142
1261,110
13,611
2433,871
2413,860
2404,840
1271,149
2425,840
393,471
96,698
77,665
72,630
393,446
1219,119
1206,113
2072,604
1258,160
1281,119
54,692
2448,813
2040,607
41,620
2309,176
2404,836
2444,883
68,670
2444,876
1220,109
1284,109
24,615
2472,809
323,460
2478,827
9,666
1217,178
2434,843
35,622
77,608
1284,116
2358,148
72,605
67,631
2472,862
2434,1198
67,624
2497,1131
2440,816
2483,854
89,672
89,633
1002,293
1084,230
63,699
67,654
307,461
1295,122
40,693
2321,106
63,672
1239,152
2059,622
1036,289
1266,182
49,698
94,666
2492,1104
1055,236
2411,826
32,642
1228,155
2414,883
1296,101
2432,826
2425,835
75,626
2471,894
2363,162
1217,103
97,651
2454,897
1210,195
1022,286
1226,173
